央视频道,#genre#
广汉综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ghxwzh_2000.m3u8?E&U&A&K&P&S
旌阳综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyxwgq-HD-_2000.m3u8?E&U&A&K&P&S
罗江综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ljxwzh_2000.m3u8?E&U&A&K&P&S
绵竹综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/mzxwzh_2000.m3u8?E&U&A&K&P&S
中江新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/zjxwzh_2000.m3u8?E&U&A&K&P&S
宜宾新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybytH264_2000.m3u8?E&U&A&K&P&S
宜宾公共,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybetH264_2000.m3u8?E&U&A&K&P&S
宜宾导视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybds_2000.m3u8?E&U&A&K&P&S
珙县新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/gxzh_2000.m3u8?E&U&A&K&P&S
高县一套,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/gxt_2000.m3u8?E&U&A&K&P&S
江安综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jat_2000.m3u8?E&U&A&K&P&S
南溪综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/nxt_2000.m3u8?E&U&A&K&P&S
屏山新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/psxwzh_2000.m3u8?E&U&A&K&P&S
兴文综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/xwt_2000.m3u8?E&U&A&K&P&S
叙州新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybx_2000.m3u8?E&U&A&K&P&S
筠连新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ylyt_2000.m3u8?E&U&A&K&P&S
长宁综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/znzh_2000.m3u8?E&U&A&K&P&S
宁新综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/snxwzhHDH265_4000.m3u8?E&U&A&K&P&S
遂宁文化,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/sngggq_2000.m3u8?E&U&A&K&P&S
安居综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ajxw_2000.m3u8?E&U&A&K&P&S
船山综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/csxw_2000.m3u8?E&U&A&K&P&S
大英新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/dyxwzhH265_4000.m3u8?E&U&A&K&P&S
蓬溪新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/pxxw_2000.m3u8?E&U&A&K&P&S
射洪综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/shzhH264_2000.m3u8?E&U&A&K&P&S
乐山新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/lsxwzh_4000.m3u8?E&U&A&K&P&S
乐山文旅,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/lsggpd_4000.m3u8?E&U&A&K&P&S
峨边综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ebdst_2000.m3u8?E&U&A&K&P&S
